longitude,latitude,YR,MO,X,Y,TOT,CR
-74.00678081364835,40.70672354454941,2014.0,8.0,982370.0,196755.0,1.0,GRAND LARCENY
-74.00549790938571,40.72032939566111,2014.0,8.0,982726.0,201712.0,1.0,GRAND LARCENY
-74.00089835383723,40.72577237851559,2014.0,8.0,984001.0,203695.0,1.0,FELONY ASSAULT
-74.00531458413064,40.72860484802415,2014.0,8.0,982777.0,204727.0,1.0,GRAND LARCENY
-73.99644349425331,40.71019855969049,2014.0,8.0,985236.0,198021.0,1.0,ROBBERY
-74.00095616452742,40.73170654022224,2014.0,8.0,983985.0,205857.0,3.0,GRAND LARCENY
-74.0001840335799,40.737865771059916,2014.0,8.0,984199.0,208101.0,2.0,GRAND LARCENY
-77.51958437167269,40.112385297478355,2014.0,8.0,0.0,0.0,34.0,GRAND LARCENY OF MOTOR VEHICLE
-77.51958437167269,40.112385297478355,2014.0,8.0,0.0,0.0,3.0,MURDER
-73.9968389765886,40.73736069336588,2014.0,8.0,985126.0,207917.0,5.0,GRAND LARCENY
-77.51958437167269,40.112385297478355,2014.0,8.0,0.0,0.0,48.0,ROBBERY
-73.9876714652866,40.72859607640925,2014.0,8.0,987667.0,204724.0,1.0,GRAND LARCENY
-73.99903635982372,40.74963800043033,2014.0,8.0,984517.0,212390.0,1.0,GRAND LARCENY
-74.00382228632857,40.753261007224694,2014.0,8.0,983191.0,213710.0,1.0,GRAND LARCENY
-74.00252241397992,40.73975138823037,2014.0,8.0,983551.0,208788.0,1.0,GRAND LARCENY
-73.99114500383567,40.73585901648083,2014.0,8.0,986704.0,207370.0,1.0,GRAND LARCENY
-73.98924423910395,40.75289551720486,2014.0,8.0,987230.0,213577.0,1.0,GRAND LARCENY
-73.9883344752512,40.75413056450468,2014.0,8.0,987482.0,214027.0,1.0,GRAND LARCENY
-73.98793821748563,40.749854207996954,2014.0,8.0,987592.0,212469.0,1.0,FELONY ASSAULT
-73.98411854690194,40.75484094960601,2014.0,8.0,988650.0,214286.0,2.0,FELONY ASSAULT
-73.99263277459289,40.75842919058094,2014.0,8.0,986291.0,215593.0,1.0,FELONY ASSAULT
-73.97351124562277,40.74378315359212,2014.0,8.0,991590.0,210258.0,1.0,ROBBERY
-73.96224159202879,40.75528599440987,2014.0,8.0,994711.0,214450.0,1.0,GRAND LARCENY
-73.96726759324733,40.75926741242011,2014.0,8.0,993318.0,215900.0,1.0,GRAND LARCENY
-73.9758292915084,40.76041957461581,2014.0,8.0,990946.0,216319.0,2.0,GRAND LARCENY
-73.98519221959796,40.763544676038954,2014.0,8.0,988352.0,217457.0,1.0,FELONY ASSAULT
-73.97301575364541,40.76427805844046,2014.0,8.0,991725.0,217725.0,1.0,GRAND LARCENY
-73.9621249589295,40.77631891093815,2014.0,8.0,994740.0,222113.0,1.0,GRAND LARCENY
-73.94567053793696,40.78194727151648,2014.0,8.0,999296.0,224166.0,1.0,GRAND LARCENY
-73.96562818066359,40.795456289069534,2014.0,8.0,993767.0,229085.0,1.0,FELONY ASSAULT
-73.96052589840399,40.799958753641405,2014.0,8.0,995179.0,230726.0,1.0,GRAND LARCENY
-73.96900003062966,40.79847644651608,2014.0,8.0,992833.0,230185.0,1.0,GRAND LARCENY
-73.97358687480491,40.79879323250125,2014.0,8.0,991563.0,230300.0,1.0,ROBBERY
-73.97425591093781,40.796589367227064,2014.0,8.0,991378.0,229497.0,1.0,GRAND LARCENY
-73.93791211605358,40.803698088389,2014.0,8.0,1001439.0,232092.0,2.0,ROBBERY
-73.93742023722204,40.804375769710255,2014.0,8.0,1001575.0,232339.0,1.0,RAPE
-73.93601689313908,40.80629630709796,2014.0,8.0,1001963.0,233039.0,1.0,ROBBERY
-73.93740755930493,40.81017536559598,2014.0,8.0,1001577.0,234452.0,1.0,ROBBERY
-73.93581874252612,40.809502034834196,2014.0,8.0,1002017.0,234207.0,1.0,ROBBERY
-73.94800821023536,40.81711654447693,2014.0,8.0,998641.0,236979.0,3.0,GRAND LARCENY
