longitude,latitude,YR,MO,X,Y,TOT,CR
-73.9924085414421,40.7305919234423,2014.0,12.0,986354.0,205451.0,2.0,GRAND LARCENY
-73.98820001110087,40.71855580770046,2014.0,12.0,987521.0,201066.0,3.0,GRAND LARCENY
-73.98864298220137,40.72293374263921,2014.0,12.0,987398.0,202661.0,1.0,ROBBERY
-73.98723839127574,40.72919164124247,2014.0,12.0,987787.0,204941.0,1.0,GRAND LARCENY
-73.99125484859883,40.723721716163155,2014.0,12.0,986674.0,202948.0,2.0,GRAND LARCENY
-74.00269221510214,40.74462057218184,2014.0,12.0,983504.0,210562.0,1.0,GRAND LARCENY
-74.00252241397992,40.73975138823037,2014.0,12.0,983551.0,208788.0,1.0,GRAND LARCENY
-73.98407798603097,40.74332672581444,2014.0,12.0,988662.0,210091.0,1.0,FELONY ASSAULT
-73.99114500383567,40.73585901648083,2014.0,12.0,986704.0,207370.0,1.0,GRAND LARCENY
-73.99700835637634,40.74222714257439,2014.0,12.0,985079.0,209690.0,1.0,GRAND LARCENY
-73.99168995297292,40.73520306105529,2014.0,12.0,986553.0,207131.0,1.0,GRAND LARCENY
-73.97787428590465,40.75472738489829,2014.0,12.0,990380.0,214245.0,2.0,FELONY ASSAULT
-73.9818236763463,40.75219741962587,2014.0,12.0,989286.0,213323.0,1.0,GRAND LARCENY
-73.98789040892227,40.754748086516145,2014.0,12.0,987605.0,214252.0,1.0,GRAND LARCENY
-73.98556886403077,40.75793446824923,2014.0,12.0,988248.0,215413.0,2.0,GRAND LARCENY
-73.99207740961194,40.75409245629905,2014.0,12.0,986445.0,214013.0,1.0,FELONY ASSAULT
-73.97588188094879,40.74478001867379,2014.0,12.0,990933.0,210621.0,1.0,GRAND LARCENY
-73.97285078202529,40.76161561932109,2014.0,12.0,991771.0,216755.0,1.0,GRAND LARCENY
-73.98287746335353,40.76671453190395,2014.0,12.0,988993.0,218612.0,1.0,GRAND LARCENY
-73.9922332315829,40.74878687072769,2014.0,12.0,986402.0,212080.0,1.0,BURGLARY
-73.98556886403077,40.75793446824923,2014.0,12.0,988248.0,215413.0,1.0,ROBBERY
-73.9942428543491,40.7562170180066,2014.0,12.0,985845.0,214787.0,1.0,GRAND LARCENY
-73.99013990964596,40.74911059082947,2014.0,12.0,986982.0,212198.0,1.0,GRAND LARCENY
-73.98735067530677,40.72689978224537,2014.0,12.0,987756.0,204106.0,1.0,GRAND LARCENY
-73.98980985157415,40.759760176340734,2014.0,12.0,987073.0,216078.0,2.0,GRAND LARCENY
-73.99538299002703,40.76292522337031,2014.0,12.0,985529.0,217231.0,1.0,BURGLARY
-73.97072694674765,40.76452727115144,2014.0,12.0,992359.0,217816.0,1.0,ROBBERY
-73.96546867914553,40.754817655440725,2014.0,12.0,993817.0,214279.0,1.0,GRAND LARCENY OF MOTOR VEHICLE
-73.96735822080569,40.75847969650889,2014.0,12.0,993293.0,215613.0,1.0,GRAND LARCENY
-73.98155207673668,40.75546087970902,2014.0,12.0,989361.0,214512.0,2.0,GRAND LARCENY
-73.97627453402231,40.756920118147896,2014.0,12.0,990823.0,215044.0,1.0,GRAND LARCENY
-73.94888038183457,40.777554417648936,2014.0,12.0,998408.0,222565.0,1.0,GRAND LARCENY OF MOTOR VEHICLE
-73.98450355963558,40.759979164269794,2014.0,12.0,988543.0,216158.0,1.0,GRAND LARCENY
-73.98507708123937,40.76185664445366,2014.0,12.0,988384.0,216842.0,1.0,GRAND LARCENY
-73.97989792272419,40.75885310763417,2014.0,12.0,989819.0,215748.0,1.0,GRAND LARCENY
-73.98726807885961,40.724882376777046,2014.0,12.0,987779.0,203371.0,1.0,BURGLARY
-73.99051243179497,40.74360740012783,2014.0,12.0,986879.0,210193.0,1.0,GRAND LARCENY
-73.98872265152286,40.76380033674281,2014.0,12.0,987374.0,217550.0,1.0,GRAND LARCENY
-73.99238873868701,40.74602017441106,2014.0,12.0,986359.0,211072.0,6.0,GRAND LARCENY
-73.98683784782718,40.747721418172965,2014.0,12.0,987897.0,211692.0,4.0,GRAND LARCENY
-73.97909618374368,40.74862329557765,2014.0,12.0,990042.0,212021.0,1.0,GRAND LARCENY
-73.98120910523251,40.742925559913786,2014.0,12.0,989457.0,209945.0,1.0,GRAND LARCENY
-73.98445121486219,40.78319141500296,2014.0,12.0,988556.0,224615.0,1.0,ROBBERY
-73.98343324566004,40.75287561480605,2014.0,12.0,988840.0,213570.0,1.0,BURGLARY
-73.97580355256702,40.751779110811206,2014.0,12.0,990954.0,213171.0,1.0,GRAND LARCENY
-73.98784068380314,40.770102172157934,2014.0,12.0,987618.0,219846.0,1.0,ROBBERY
-73.99003688576433,40.738142560226244,2014.0,12.0,987011.0,208202.0,1.0,GRAND LARCENY
-73.9890701182718,40.758220307078474,2014.0,12.0,987278.0,215517.0,1.0,ROBBERY
-73.985271583524,40.74746322216587,2014.0,12.0,988331.0,211598.0,2.0,GRAND LARCENY
-73.96841421065807,40.761913665374315,2014.0,12.0,993000.0,216864.0,2.0,GRAND LARCENY
-73.9745693901405,40.7607020119757,2014.0,12.0,991295.0,216422.0,1.0,GRAND LARCENY
