longitude,latitude,YR,MO,X,Y,TOT,CR
-73.99382768071641,40.71814453299436,2014.0,2.0,985961.0,200916.0,1.0,GRAND LARCENY
-73.9938155049912,40.732730171566054,2014.0,2.0,985964.0,206230.0,1.0,GRAND LARCENY OF MOTOR VEHICLE
-74.00095616452742,40.73170654022224,2014.0,2.0,983985.0,205857.0,2.0,GRAND LARCENY
-73.9924085414421,40.7305919234423,2014.0,2.0,986354.0,205451.0,1.0,GRAND LARCENY
-73.99125484859883,40.723721716163155,2014.0,2.0,986674.0,202948.0,1.0,GRAND LARCENY
-74.00112952543432,40.741667246722756,2014.0,2.0,983937.0,209486.0,1.0,ROBBERY
-74.00441709886807,40.742284736490724,2014.0,2.0,983026.0,209711.0,1.0,GRAND LARCENY
-73.99848786928399,40.74529305738593,2014.0,2.0,984669.0,210807.0,1.0,GRAND LARCENY
-73.98407798603097,40.74332672581444,2014.0,2.0,988662.0,210091.0,2.0,GRAND LARCENY
-73.98256181393602,40.73136212945384,2014.0,2.0,989083.0,205732.0,1.0,GRAND LARCENY
-73.98979219054628,40.75723226525813,2014.0,2.0,987078.0,215157.0,1.0,GRAND LARCENY
-73.96760481618081,40.75613300917209,2014.0,2.0,993225.0,214758.0,1.0,ROBBERY
-73.98463729640916,40.75920790914489,2014.0,2.0,988506.0,215877.0,1.0,GRAND LARCENY
-73.9850704141174,40.75939186393891,2014.0,2.0,988386.0,215944.0,1.0,GRAND LARCENY
-73.97209831109043,40.76551846322451,2014.0,2.0,991979.0,218177.0,1.0,GRAND LARCENY
-73.98567955980559,40.78031234739384,2014.0,2.0,988216.0,223566.0,1.0,RAPE
-73.96987216442096,40.7947356127108,2014.0,2.0,992592.0,228822.0,1.0,ROBBERY
-73.97178633998193,40.79465101054069,2014.0,2.0,992062.0,228791.0,1.0,GRAND LARCENY
-73.93540919329382,40.796003241271926,2014.0,2.0,1002134.0,229289.0,1.0,ROBBERY
-77.51958437167269,40.112385297478355,2014.0,2.0,0.0,0.0,2.0,RAPE
-73.93581874252612,40.809502034834196,2014.0,2.0,1002017.0,234207.0,1.0,GRAND LARCENY
-73.96576389309249,40.80545262501931,2014.0,2.0,993728.0,232727.0,1.0,GRAND LARCENY
-73.95086087246816,40.81418643406083,2014.0,2.0,997852.0,235911.0,1.0,ROBBERY
-73.94734955832888,40.81853526560089,2014.0,2.0,998823.0,237496.0,1.0,ROBBERY
-73.95536877183133,40.80441979728993,2014.0,2.0,996606.0,232352.0,1.0,ROBBERY
-73.93623091459877,40.820437232232464,2014.0,2.0,1001900.0,238191.0,1.0,FELONY ASSAULT
-73.9406657478642,40.834731331789776,2014.0,2.0,1000669.0,243398.0,1.0,FELONY ASSAULT
-73.93149393068829,40.852380210477016,2014.0,2.0,1003202.0,249830.0,1.0,FELONY ASSAULT
-73.93087626045744,40.85542920718674,2014.0,2.0,1003372.0,250941.0,1.0,GRAND LARCENY
-73.93331278508575,40.8553345767285,2014.0,2.0,1002698.0,250906.0,1.0,ROBBERY
-73.92376634876224,40.86440264314058,2014.0,2.0,1005336.0,254212.0,1.0,ROBBERY
-73.93476445944266,40.85686969510758,2014.0,2.0,1002296.0,251465.0,1.0,GRAND LARCENY
-73.91972150567067,40.806873482506646,2014.0,2.0,1006474.0,233253.0,1.0,FELONY ASSAULT
-73.91036567344332,40.809644249344174,2014.0,2.0,1009063.0,234265.0,1.0,GRAND LARCENY OF MOTOR VEHICLE
-73.91131470072226,40.82126338946008,2014.0,2.0,1008796.0,238498.0,1.0,FELONY ASSAULT
-73.92821792098728,40.816535020415806,2014.0,2.0,1004119.0,236771.0,2.0,FELONY ASSAULT
-73.92429785966357,40.80718947707812,2014.0,2.0,1005207.0,233367.0,1.0,ROBBERY
-73.88589404575562,40.814593321037194,2014.0,2.0,1015835.0,236076.0,1.0,ROBBERY
-73.89584683243255,40.823893619764455,2014.0,2.0,1013076.0,239461.0,1.0,GRAND LARCENY OF MOTOR VEHICLE
-73.89215643551803,40.83364494866829,2014.0,2.0,1014093.0,243015.0,1.0,ROBBERY
-73.90346847492226,40.83035308034171,2014.0,2.0,1010964.0,241812.0,1.0,ROBBERY
-73.90205514865333,40.82819728696382,2014.0,2.0,1011356.0,241027.0,1.0,GRAND LARCENY OF MOTOR VEHICLE
-73.84852060291452,40.82112388842063,2014.0,2.0,1026176.0,238471.0,1.0,ROBBERY
-73.87514305443418,40.8317641233694,2014.0,2.0,1018802.0,242336.0,1.0,ROBBERY
-73.92280084576448,40.84277373797452,2014.0,2.0,1005610.0,246332.0,1.0,GRAND LARCENY OF MOTOR VEHICLE
-73.91207830733849,40.8394531985991,2014.0,2.0,1008578.0,245125.0,1.0,GRAND LARCENY OF MOTOR VEHICLE
-73.91689342043631,40.84134787366095,2014.0,2.0,1007245.0,245814.0,1.0,GRAND LARCENY
-73.92128399754041,40.83572429672214,2014.0,2.0,1006032.0,243764.0,1.0,GRAND LARCENY
-73.91474279614735,40.844343526095244,2014.0,2.0,1007839.0,246906.0,1.0,FELONY ASSAULT
-73.91375612954614,40.8387435853131,2014.0,2.0,1008114.0,244866.0,1.0,ROBBERY
-73.81914909944679,40.84816917663935,2014.0,2.0,1034285.0,248340.0,1.0,ROBBERY
-73.90738795526715,40.84678339012413,2014.0,2.0,1009873.0,247797.0,1.0,ROBBERY
-73.89906635402386,40.857118457428314,2014.0,2.0,1012171.0,251565.0,1.0,ROBBERY
-73.8938108153845,40.8589856268419,2014.0,2.0,1013624.0,252247.0,1.0,ROBBERY
-73.91718970947427,40.855919730880345,2014.0,2.0,1007158.0,251123.0,1.0,GRAND LARCENY OF MOTOR VEHICLE
-73.83660016706672,40.87747570387605,2014.0,2.0,1029437.0,259008.0,1.0,ROBBERY
-73.8626128685673,40.89740585305152,2014.0,2.0,1022232.0,266257.0,1.0,GRAND LARCENY
-73.84272823296929,40.90244167271722,2014.0,2.0,1027726.0,268101.0,1.0,FELONY ASSAULT
-73.89299477215656,40.85838652785015,2014.0,2.0,1013850.0,252029.0,1.0,ROBBERY
-73.89930779715327,40.85045727150087,2014.0,2.0,1012107.0,249138.0,2.0,ROBBERY
-73.86164613455512,40.863107018739086,2014.0,2.0,1022519.0,253761.0,1.0,ROBBERY
-73.89656145046004,40.86856438182136,2014.0,2.0,1012859.0,255736.0,1.0,GRAND LARCENY
-73.87159798076605,40.878645273166896,2014.0,2.0,1019758.0,259418.0,1.0,ROBBERY
-73.9722057162885,40.58600205902811,2014.0,2.0,991970.0,152774.0,1.0,GRAND LARCENY
-73.97113454965766,40.5820190876305,2014.0,2.0,992268.0,151323.0,1.0,GRAND LARCENY
-73.97150407556866,40.576587214928175,2014.0,2.0,992166.0,149344.0,1.0,GRAND LARCENY
-73.98120219309827,40.575565399378135,2014.0,2.0,989472.0,148971.0,1.0,FELONY ASSAULT
-73.9453739564956,40.59327988118443,2014.0,2.0,999421.0,155429.0,1.0,FELONY ASSAULT
-73.93964107926514,40.59392204086119,2014.0,2.0,1001013.0,155664.0,1.0,ROBBERY
-73.94289066228197,40.600319082813876,2014.0,2.0,1000109.0,157994.0,1.0,ROBBERY
-73.96784960397628,40.59296997076263,2014.0,2.0,993179.0,155313.0,1.0,GRAND LARCENY OF MOTOR VEHICLE
-73.94276775205265,40.60507301047504,2014.0,2.0,1000142.0,159726.0,1.0,GRAND LARCENY
-73.94983595616121,40.60666554986431,2014.0,2.0,998179.0,160305.0,1.0,GRAND LARCENY OF MOTOR VEHICLE
-73.9938096133176,40.601949791255656,2014.0,2.0,985969.0,158583.0,1.0,GRAND LARCENY
-74.01237057502131,40.60521559995358,2014.0,2.0,980815.0,159773.0,1.0,FELONY ASSAULT
-73.9159880573664,40.62529666949654,2014.0,2.0,1007571.0,167100.0,1.0,GRAND LARCENY OF MOTOR VEHICLE
-73.98496373763578,40.624321788569,2014.0,2.0,988424.0,166734.0,1.0,ROBBERY
-73.95041922204688,40.64083021845029,2014.0,2.0,998010.0,172752.0,1.0,ROBBERY
-73.92672051545145,40.65404467575983,2014.0,2.0,1004583.0,177571.0,1.0,ROBBERY
-73.91996097640175,40.65278854948029,2014.0,2.0,1006459.0,177115.0,1.0,GRAND LARCENY
-74.02927434035252,40.62783237621784,2014.0,2.0,976124.0,168014.0,1.0,ROBBERY
-73.89255234109622,40.64890978751384,2014.0,2.0,1014066.0,175710.0,1.0,GRAND LARCENY
-73.90735258848714,40.63082902316364,2014.0,2.0,1009966.0,169118.0,1.0,GRAND LARCENY
-73.95273145623922,40.63214668478557,2014.0,2.0,997370.0,169588.0,2.0,ROBBERY
-73.94769778544027,40.63288559817993,2014.0,2.0,998767.0,169858.0,1.0,ROBBERY
-73.96278023478101,40.63751369203835,2014.0,2.0,994580.0,171542.0,1.0,ROBBERY
-73.95582488903592,40.6505297459799,2014.0,2.0,996508.0,176285.0,2.0,ROBBERY
-73.95969634660906,40.654840476104035,2014.0,2.0,995433.0,177855.0,1.0,GRAND LARCENY
-73.91962350905219,40.67264954234581,2014.0,2.0,1006546.0,184351.0,1.0,ROBBERY
-73.91853583163022,40.66590760271364,2014.0,2.0,1006850.0,181895.0,1.0,GRAND LARCENY
-73.90730644018124,40.656273155810474,2014.0,2.0,1009969.0,178388.0,1.0,ROBBERY
-73.89031016721063,40.680008777983915,2014.0,2.0,1014674.0,187041.0,1.0,GRAND LARCENY OF MOTOR VEHICLE
-73.88151871400702,40.678852744841755,2014.0,2.0,1017113.0,186623.0,2.0,GRAND LARCENY
-73.8800146163561,40.685243767373606,2014.0,2.0,1017527.0,188952.0,1.0,GRAND LARCENY OF MOTOR VEHICLE
-73.8946273103106,40.663080277169456,2014.0,2.0,1013484.0,180872.0,1.0,GRAND LARCENY OF MOTOR VEHICLE
