longitude,latitude,YR,MO,X,Y,TOT,CR
-73.8905572395769,40.67005919664015,2014.0,5.0,1014610.0,183416.0,1.0,ROBBERY
-73.97161684926095,40.67546280943496,2014.0,5.0,992123.0,185367.0,1.0,ROBBERY
-73.9492066430157,40.69537665235721,2014.0,5.0,998335.0,192625.0,1.0,GRAND LARCENY
-73.89395683927789,40.67217585964226,2014.0,5.0,1013666.0,184186.0,1.0,FELONY ASSAULT
-73.87518136819845,40.67072424726684,2014.0,5.0,1018875.0,183664.0,1.0,FELONY ASSAULT
-73.88111748453073,40.67539116757511,2014.0,5.0,1017226.0,185362.0,1.0,GRAND LARCENY OF MOTOR VEHICLE
-73.87462308705831,40.67238972095095,2014.0,5.0,1019029.0,184271.0,1.0,ROBBERY
-73.89226760278869,40.65786575103405,2014.0,5.0,1014141.0,178973.0,1.0,ROBBERY
-73.89418912252594,40.65755462949332,2014.0,5.0,1013608.0,178859.0,1.0,BURGLARY
-73.88241237337759,40.64844148792353,2014.0,5.0,1016880.0,175543.0,1.0,ROBBERY
-73.87751946067257,40.64404197759768,2014.0,5.0,1018240.0,173942.0,1.0,GRAND LARCENY
-73.95495337231561,40.67099448649894,2014.0,5.0,996746.0,183741.0,1.0,GRAND LARCENY
-73.93599757603873,40.67612097875941,2014.0,5.0,1002003.0,185612.0,1.0,GRAND LARCENY
-73.93626320010819,40.67356025053215,2014.0,5.0,1001930.0,184679.0,1.0,ROBBERY
-73.93599757603873,40.67612097875941,2014.0,5.0,1002003.0,185612.0,1.0,ROBBERY
-73.94964817681596,40.67896311448042,2014.0,5.0,998216.0,186645.0,1.0,FELONY ASSAULT
-73.94818647280042,40.6902407342033,2014.0,5.0,998619.0,190754.0,1.0,ROBBERY
-73.93105191113328,40.69296004545576,2014.0,5.0,1003370.0,191748.0,1.0,GRAND LARCENY
-73.93397676837068,40.692624153923404,2014.0,5.0,1002559.0,191625.0,1.0,GRAND LARCENY
