longitude,latitude,YR,MO,X,Y,TOT,CR
-74.00378053476526,40.71715926754473,2014.0,1.0,983202.0,200557.0,1.0,GRAND LARCENY
-73.99876958566209,40.733279281915486,2014.0,1.0,984591.0,206430.0,2.0,GRAND LARCENY
-73.97647552472735,40.7397160762217,2014.0,1.0,990769.0,208776.0,1.0,GRAND LARCENY
-73.9833311139202,40.72830733051328,2014.0,1.0,988870.0,204619.0,1.0,FELONY ASSAULT
-73.98756611377232,40.7517892153343,2014.0,1.0,987695.0,213174.0,1.0,GRAND LARCENY
-73.98394546190433,40.7391711541946,2014.0,1.0,988699.0,208577.0,1.0,GRAND LARCENY
-73.99158485685592,40.73879593475963,2014.0,1.0,986582.0,208440.0,1.0,GRAND LARCENY
-73.98962073482755,40.74566314081978,2014.0,1.0,987126.0,210942.0,1.0,GRAND LARCENY
-74.00520726875014,40.740437486015864,2014.0,1.0,982807.0,209038.0,2.0,GRAND LARCENY
-74.00828856725536,40.73657269443258,2014.0,1.0,981953.0,207630.0,1.0,GRAND LARCENY
-74.00321119163638,40.73008983869304,2014.0,1.0,983360.0,205268.0,2.0,GRAND LARCENY
-73.99990982304091,40.711576485341276,2014.0,1.0,984275.0,198523.0,1.0,FELONY ASSAULT
-73.97783971318928,40.72845462145046,2014.0,1.0,990392.0,204673.0,1.0,FELONY ASSAULT
-73.98298699531762,40.733634849778085,2014.0,1.0,988965.0,206560.0,1.0,GRAND LARCENY
-73.99159862499535,40.71546001633273,2014.0,1.0,986579.0,199938.0,1.0,ROBBERY
-73.98876133529458,40.727089316775476,2014.0,1.0,987365.0,204175.0,1.0,GRAND LARCENY
-73.98659237520569,40.730078123878876,2014.0,1.0,987966.0,205264.0,1.0,GRAND LARCENY
-74.00248243166851,40.73203039848669,2014.0,1.0,983562.0,205975.0,1.0,GRAND LARCENY
-74.00053764859422,40.735617817387464,2014.0,1.0,984101.0,207282.0,1.0,GRAND LARCENY
-73.99265891115986,40.717790390377566,2014.0,1.0,986285.0,200787.0,1.0,GRAND LARCENY
-73.99252191039717,40.717068509661175,2014.0,1.0,986323.0,200524.0,1.0,FELONY ASSAULT
-73.98847057301573,40.739394021014014,2014.0,1.0,987445.0,208658.0,2.0,BURGLARY
-74.00888571768733,40.72270614496241,2014.0,1.0,981787.0,202578.0,1.0,GRAND LARCENY
-74.00290512547384,40.74432687877505,2014.0,1.0,983445.0,210455.0,1.0,BURGLARY
-74.002879414748,40.73394348296278,2014.0,1.0,983452.0,206672.0,1.0,GRAND LARCENY
-74.00134243325681,40.74137355608217,2014.0,1.0,983878.0,209379.0,1.0,GRAND LARCENY
-74.00220826514219,40.73370744894985,2014.0,1.0,983638.0,206586.0,2.0,GRAND LARCENY
-73.99532764700439,40.728503319905485,2014.0,1.0,985545.0,204690.0,1.0,GRAND LARCENY
