longitude,latitude,YR,MO,X,Y,TOT,CR
-74.00776507756757,40.70331722954313,2014.0,7.0,982097.0,195514.0,1.0,GRAND LARCENY OF MOTOR VEHICLE
-74.01439052052444,40.703599302704,2014.0,7.0,980260.0,195617.0,1.0,GRAND LARCENY
-74.01426446936989,40.7044474507605,2014.0,7.0,980295.0,195926.0,1.0,GRAND LARCENY
-73.99485970929102,40.71422232091068,2014.0,7.0,985675.0,199487.0,1.0,ROBBERY
-73.99607883407461,40.71619585196117,2014.0,7.0,985337.0,200206.0,1.0,ROBBERY
-73.99080457506922,40.718696027930406,2014.0,7.0,986799.0,201117.0,1.0,FELONY ASSAULT
-73.9996824485918,40.738551958835075,2014.0,7.0,984338.0,208351.0,1.0,ROBBERY
-74.00095616452742,40.73170654022224,2014.0,7.0,983985.0,205857.0,1.0,FELONY ASSAULT
-73.98339487625655,40.718568938730606,2014.0,7.0,988853.0,201071.0,1.0,GRAND LARCENY
-73.98705154855294,40.725203489231546,2014.0,7.0,987839.0,203488.0,1.0,ROBBERY
-74.00702330623149,40.748891218889554,2014.0,7.0,982304.0,212118.0,1.0,GRAND LARCENY
-73.9878181689956,40.73529329343644,2014.0,7.0,987626.0,207164.0,1.0,GRAND LARCENY
-73.99168995297292,40.73520306105529,2014.0,7.0,986553.0,207131.0,1.0,FELONY ASSAULT
-73.98256181393602,40.73136212945384,2014.0,7.0,989083.0,205732.0,2.0,GRAND LARCENY
-73.97816050144782,40.7514584463875,2014.0,7.0,990301.0,213054.0,1.0,GRAND LARCENY
-73.99574847129311,40.74905329468663,2014.0,7.0,985428.0,212177.0,1.0,GRAND LARCENY
-73.99306960061885,40.7578281186524,2014.0,7.0,986170.0,215374.0,1.0,GRAND LARCENY
-73.99062326583426,40.75099078334887,2014.0,7.0,986848.0,212883.0,1.0,GRAND LARCENY
-73.96292570462641,40.75830818111357,2014.0,7.0,994521.0,215551.0,1.0,GRAND LARCENY
-73.97053445526424,40.758999309393644,2014.0,7.0,992413.0,215802.0,1.0,ROBBERY
-73.98839134812245,40.75916443269922,2014.0,7.0,987466.0,215861.0,1.0,GRAND LARCENY
-73.98281695619791,40.76336593800596,2014.0,7.0,989010.0,217392.0,1.0,FELONY ASSAULT
